"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,13874A,CME ,00,138 , 2071863,  136303,  903871,   34823, 1108017,  181413,   98367,  175502,  499856,   66751,  175023,  137983,    5289, 1800075, 1928353,  271788,  143510,   38769,   -5439,    3559,    5404,  -26980,   10980,    1360,   52406,  -19898,   13899,    5786,   23953,    -383,   46053,   38874,   -7284,    -105,  100.0,    6.6,   43.6,    1.7,   53.5,    8.8,    4.7,    8.5,   24.1,    3.2,    8.4,    6.7,    0.3,   86.9,   93.1,   13.1,    6.9,    431,     20,     41,     23,    160,     41,     86,     62,     69,     53,     21,     16,      4,    328,    269,    11.8,    25.9,    20.7,    35.8,    10.8,    25.1,    18.2,    34.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,13874A,CME ,00,138 , 2033094,  141742,  900312,   29419, 1134997,  170433,   97007,  123096,  519754,   52852,  169237,  114030,    5672, 1754022, 1889479,  279072,  143615,   -3375,   -6679,  -10923,    2785,   21563,  -10268,  -11460,  -15228,   -6245,   23931,  -17193,    9208,    -679,   -2960,   -3651,    -415,     276,  100.0,    7.0,   44.3,    1.4,   55.8,    8.4,    4.8,    6.1,   25.6,    2.6,    8.3,    5.6,    0.3,   86.3,   92.9,   13.7,    7.1,    429,     23,     40,     19,    161,     41,     89,     54,     72,     52,     21,     16,      5,    323,    271,    11.3,    27.6,    19.8,    37.4,    11.2,    27.0,    19.0,    36.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874A,CME ,00,138 , 2036469,  148421,  911235,   26634, 1113434,  180701,  108467,  138324,  525999,   28921,  186430,  104822,    6351, 1756982, 1893130,  279487,  143339,   -7621,   11471,  -16733,  -14067,     204,   -6937,   -3826,  -13219,   77091,  -23285,   23269,  -11750,     781,  -18672,    1274,   11051,   -8895,  100.0,    7.3,   44.7,    1.3,   54.7,    8.9,    5.3,    6.8,   25.8,    1.4,    9.2,    5.1,    0.3,   86.3,   93.0,   13.7,    7.0,    424,     23,     36,     23,    159,     42,     90,     59,     68,     52,     23,     13,      4,    329,    264,    11.2,    27.5,    19.6,    38.0,    11.0,    27.0,    18.9,    37.5,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874A,CME ,00,138 , 2044090,  136950,  927968,   40701, 1113230,  187638,  112293,  151543,  448908,   52206,  163161,  116572,    5570, 1775654, 1891856,  268436,  152234,  -25169,   -2771,  -13285,    2884,  -42699,   23430,   11053,     417,  -40712,   10968,    5538,  -12146,   -3471,  -18081,  -21279,   -7088,   -3890,  100.0,    6.7,   45.4,    2.0,   54.5,    9.2,    5.5,    7.4,   22.0,    2.6,    8.0,    5.7,    0.3,   86.9,   92.6,   13.1,    7.4,    434,     21,     39,     24,    158,     42,     87,     64,     69,     48,     23,     17,      5,    329,    269,    10.8,    28.4,    19.1,    39.5,    10.5,    27.7,    18.3,    38.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874A,CME ,00,138 , 2069259,  139721,  941253,   37817, 1155929,  164208,  101240,  151126,  489620,   41238,  157623,  128718,    9041, 1793735, 1913135,  275524,  156124,   10611,   -7095,  -16549,    5202,   -1595,   -9253,     892,    -281,   13606,    8019,   10086,   -6261,    5440,   20668,    1096,  -10057,    9515,  100.0,    6.8,   45.5,    1.8,   55.9,    7.9,    4.9,    7.3,   23.7,    2.0,    7.6,    6.2,    0.4,   86.7,   92.5,   13.3,    7.5,    425,     23,     37,     20,    159,     39,     84,     61,     67,     49,     21,     17,      4,    323,    259,    10.6,    29.0,    18.5,    39.7,    10.1,    28.4,    17.7,    39.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,13874C,CME ,00,138 ,   83514,   41148,   64895,   15255,   22938,     492,       0,     625,    1984,      74,       0,       0,       0,   80040,   82700,    3474,     814,   19170,    8829,    5297,   13255,   -1533,       0,       0,    -538,     541,     -76,       0,       0,       0,   19937,   19017,    -767,     153,  100.0,   49.3,   77.7,   18.3,   27.5,    0.6,    0.0,    0.7,    2.4,    0.1,    0.0,    0.0,    0.0,   95.8,   99.0,    4.2,    1.0,     34,      9,      6,      6,     14,.,      0,.,.,.,      0,      0,      0,     28,     14,    59.9,    65.2,    78.6,    95.2,    54.7,    57.5,    66.5,    79.6,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,13874C,CME ,00,138 ,   64344,   32319,   59598,    2000,   24471,     492,       0,    1163,    1443,     150,       0,       0,       0,   60103,   63683,    4241,     661,   -7516,   -1304,   -6687,    2000,   -7749,   -2087,       0,    -986,    -244,    -199,       0,       0,       0,   -8238,   -7217,     722,    -299,  100.0,   50.2,   92.6,    3.1,   38.0,    0.8,    0.0,    1.8,    2.2,    0.2,    0.0,    0.0,    0.0,   93.4,   99.0,    6.6,    1.0,     35,      9,      6,.,     13,.,      0,.,.,.,      0,      0,      0,     26,     11,    56.7,    78.1,    78.1,    96.7,    56.7,    78.1,    76.1,    94.4,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,13874C,CME ,00,138 ,   71860,   33623,   66285,       0,   32220,    2579,       0,    2149,    1687,     349,       0,       0,       0,   68341,   70900,    3519,     960,     299,   -1853,    1885,       0,    2381,       0,       0,     -15,       2,       0,       0,       0,       0,     513,    1887,    -214,   -1588,  100.0,   46.8,   92.2,    0.0,   44.8,    3.6,    0.0,    3.0,    2.3,    0.5,    0.0,    0.0,    0.0,   95.1,   98.7,    4.9,    1.3,     42,      7,      7,      0,     18,.,      0,      5,.,.,      0,      0,      0,     31,     12,    51.5,    78.3,    72.7,    95.6,    51.5,    78.3,    72.7,    95.6,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,13874C,CME ,00,138 ,   71561,   35476,   64400,       0,   29839,    2579,       0,    2164,    1685,     349,       0,       0,       0,   67828,   69013,    3733,    2548,    1588,    -700,     125,       0,    2369,    -667,       0,    -206,      92,       0,       0,       0,       0,    1463,    -450,     125,    2038,  100.0,   49.6,   90.0,    0.0,   41.7,    3.6,    0.0,    3.0,    2.4,    0.5,    0.0,    0.0,    0.0,   94.8,   96.4,    5.2,    3.6,     42,      7,      7,      0,     18,.,      0,      5,.,.,      0,      0,      0,     31,     12,    54.3,    75.7,    73.5,    93.2,    54.3,    75.7,    73.5,    93.2,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,13874C,CME ,00,138 ,   69973,   36176,   64275,       0,   27470,    3246,       0,    2370,    1593,     349,       0,       0,       0,   66365,   69463,    3608,     510,    1303,    1147,    -763,       0,     200,    2395,       0,      41,     139,       0,       0,       0,       0,    1388,    1771,     -85,    -468,  100.0,   51.7,   91.9,    0.0,   39.3,    4.6,    0.0,    3.4,    2.3,    0.5,    0.0,    0.0,    0.0,   94.8,   99.3,    5.2,    0.7,     43,      7,      7,      0,     17,.,      0,      6,.,.,      0,      0,      0,     31,     13,    55.7,    77.6,    75.4,    95.3,    55.7,    77.6,    75.4,    95.3,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,13874C,CME ,00,138 ,   68670,   35029,   65038,       0,   27270,     851,       0,    2329,    1454,     349,       0,       0,       0,   64977,   67692,    3693,     978,   -2102,    2942,   -2092,       0,   -4880,     -37,       0,      45,      35,       0,       0,       0,       0,   -1893,   -2094,    -209,      -8,  100.0,   51.0,   94.7,    0.0,   39.7,    1.2,    0.0,    3.4,    2.1,    0.5,    0.0,    0.0,    0.0,   94.6,   98.6,    5.4,    1.4,     43,      7,      8,      0,     17,.,      0,      6,.,.,      0,      0,      0,     31,     13,    55.1,    79.9,    75.1,    95.4,    55.1,    79.9,    75.1,    95.3,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,13874C,CME ,00,138 ,   70772,   32087,   67130,       0,   32150,     888,       0,    2284,    1419,     349,       0,       0,       0,   66870,   69786,    3902,     986,     416,    1107,     682,       0,    -887,       0,       0,     245,    -259,       0,       0,       0,       0,     465,     423,     -49,      -7,  100.0,   45.3,   94.9,    0.0,   45.4,    1.3,    0.0,    3.2,    2.0,    0.5,    0.0,    0.0,    0.0,   94.5,   98.6,    5.5,    1.4,     44,      6,      9,      0,     18,.,      0,      6,.,.,      0,      0,      0,     31,     14,    53.2,    76.7,    76.2,    94.6,    53.2,    76.7,    76.2,    94.5,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,13874C,CME ,00,138 ,   70356,   30980,   66448,       0,   33037,     888,       0,    2039,    1678,     349,       0,       0,       0,   66405,   69363,    3951,     993,    2691,      89,    1831,       0,    1820,     584,       0,     826,     437,     -74,       0,       0,       0,    2661,    2778,      30,     -87,  100.0,   44.0,   94.4,    0.0,   47.0,    1.3,    0.0,    2.9,    2.4,    0.5,    0.0,    0.0,    0.0,   94.4,   98.6,    5.6,    1.4,     45,      6,      9,      0,     19,.,      0,      5,      4,.,      0,      0,      0,     31,     15,    52.3,    76.6,    75.5,    94.1,    52.3,    76.6,    75.5,    94.1,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874C,CME ,00,138 ,   67665,   30891,   64617,       0,   31217,     304,       0,    1213,    1241,     423,       0,       0,       0,   63744,   66585,    3921,    1080,     979,      12,    1873,       0,     408,    -824,       0,     165,    -211,       0,       0,       0,       0,     585,     838,     394,     141,  100.0,   45.7,   95.5,    0.0,   46.1,    0.4,    0.0,    1.8,    1.8,    0.6,    0.0,    0.0,    0.0,   94.2,   98.4,    5.8,    1.6,     40,      6,      9,      0,     18,.,      0,.,.,.,      0,      0,      0,     28,     13,    53.7,    78.2,    78.3,    95.0,    53.7,    78.2,    78.3,    95.0,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874C,CME ,00,138 ,   66686,   30879,   62744,       0,   30809,    1128,       0,    1048,    1452,     423,       0,       0,       0,   63159,   65747,    3527,     939,    1721,    -634,     561,       0,    5113,     910,       0,       0,     157,       0,       0,       0,       0,    4479,    1628,   -2758,      93,  100.0,   46.3,   94.1,    0.0,   46.2,    1.7,    0.0,    1.6,    2.2,    0.6,    0.0,    0.0,    0.0,   94.7,   98.6,    5.3,    1.4,     41,      6,      9,      0,     17,.,      0,.,      4,.,      0,      0,      0,     27,     15,    54.5,    78.5,    79.8,    93.7,    54.5,    78.5,    79.8,    93.7,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874C,CME ,00,138 ,   64965,   31513,   62183,       0,   25696,     218,       0,    1048,    1295,     423,       0,       0,       0,   58680,   64119,    6285,     846,    2372,   -5560,    2496,       0,    4739,       0,       0,    -103,     -22,       0,       0,       0,       0,    -924,    2474,    3296,    -102,  100.0,   48.5,   95.7,    0.0,   39.6,    0.3,    0.0,    1.6,    2.0,    0.7,    0.0,    0.0,    0.0,   90.3,   98.7,    9.7,    1.3,     38,      6,      8,      0,     17,.,      0,.,.,.,      0,      0,      0,     27,     12,    55.2,    78.7,    75.5,    96.3,    55.2,    78.7,    75.5,    96.3,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,13874H,CME ,00,138 ,   21496,    9282,    2904,    9136,    2130,    6527,       0,       0,    1623,     206,       0,       0,       0,   20754,   20396,     742,    1100,    4283,     947,   -2991,    9136,   -6243,      44,       0,       0,     201,     206,       0,       0,       0,    4046,    6596,     237,   -2313,  100.0,   43.2,   13.5,   42.5,    9.9,   30.4,    0.0,    0.0,    7.6,    1.0,    0.0,    0.0,    0.0,   96.5,   94.9,    3.5,    5.1,     26,      7,      6,      7,.,      6,      0,      0,      5,.,      0,      0,      0,     12,     22,    67.6,    55.0,    91.4,    72.5,    49.8,    29.5,    53.1,    39.8,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,13874H,CME ,00,138 ,   17213,    8335,    5895,       0,    8373,    6483,       0,       0,    1422,       0,       0,       0,       0,   16708,   13800,     505,    3413,    2075,    2286,   -1986,       0,       0,    2222,       0,       0,    -629,       0,       0,       0,       0,    2286,    -393,    -211,    2468,  100.0,   48.4,   34.2,    0.0,   48.6,   37.7,    0.0,    0.0,    8.3,    0.0,    0.0,    0.0,    0.0,   97.1,   80.2,    2.9,   19.8,     22,      6,      4,      0,.,      6,      0,      0,      4,      0,      0,      0,      0,      8,     14,    81.0,    56.6,    97.1,    69.5,    81.0,    56.6,    97.1,    69.5,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,13874H,CME ,00,138 ,   15138,    6049,    7881,       0,    8373,    4261,       0,       0,    2051,       0,       0,       0,       0,   14422,   14193,     716,     945,   -1159,    -144,   -1069,       0,   -1077,      20,       0,       0,    -144,       0,       0,       0,       0,   -1221,   -1193,      62,      34,  100.0,   40.0,   52.1,    0.0,   55.3,   28.1,    0.0,    0.0,   13.5,    0.0,    0.0,    0.0,    0.0,   95.3,   93.8,    4.7,    6.2,     22,      6,      4,      0,.,      6,      0,      0,      4,      0,      0,      0,      0,      8,     14,    80.9,    64.8,    95.3,    81.9,    80.9,    64.8,    95.3,    81.9,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,13874H,CME ,00,138 ,   16297,    6193,    8950,       0,    9450,    4241,       0,       0,    2195,       0,       0,       0,       0,   15643,   15386,     654,     911,       1,     541,      35,       0,    -318,      33,       0,       0,     160,       0,       0,       0,       0,     223,     228,    -222,    -227,  100.0,   38.0,   54.9,    0.0,   58.0,   26.0,    0.0,    0.0,   13.5,    0.0,    0.0,    0.0,    0.0,   96.0,   94.4,    4.0,    5.6,     22,      6,      4,      0,.,      6,      0,      0,      4,      0,      0,      0,      0,      8,     14,    82.0,    66.5,    96.0,    83.1,    82.0,    66.5,    96.0,    83.1,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,13874H,CME ,00,138 ,   16296,    5652,    8915,       0,    9768,    4208,       0,       0,    2035,       0,       0,       0,       0,   15420,   15158,     876,    1138,   -3023,     621,   -2910,       0,   -3578,     -43,       0,       0,    -409,       0,       0,       0,       0,   -2957,   -3362,     -66,     339,  100.0,   34.7,   54.7,    0.0,   59.9,   25.8,    0.0,    0.0,   12.5,    0.0,    0.0,    0.0,    0.0,   94.6,   93.0,    5.4,    7.0,     21,      5,      4,      0,.,      6,      0,      0,.,      0,      0,      0,      0,      8,     13,    82.0,    67.0,    94.6,    83.5,    82.0,    67.0,    94.6,    83.5,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,13874H,CME ,00,138 ,   19319,    5031,   11825,       0,   13346,    4251,       0,       0,    2444,       0,       0,       0,       0,   18377,   18520,     942,     799,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   26.0,   61.2,    0.0,   69.1,   22.0,    0.0,    0.0,   12.7,    0.0,    0.0,    0.0,    0.0,   95.1,   95.9,    4.9,    4.1,     23,      4,      5,      0,.,      6,      0,      0,      5,      0,      0,      0,      0,      7,     16,    87.7,    66.7,    95.1,    83.0,    87.7,    66.7,    95.1,    83.0,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874H,CME ,00,138 ,   14745,    5536,    8208,       0,    8648,    3932,       0,       0,    1187,       0,       0,       0,       0,   14184,   13327,     561,    1418,    -185,    -100,     961,       0,      -4,   -1115,       0,       0,    -210,       0,       0,       0,       0,    -104,    -364,     -81,     179,  100.0,   37.5,   55.7,    0.0,   58.7,   26.7,    0.0,    0.0,    8.1,    0.0,    0.0,    0.0,    0.0,   96.2,   90.4,    3.8,    9.6,     21,      6,      5,      0,.,      5,      0,      0,.,      0,      0,      0,      0,      9,     12,    82.0,    64.6,    94.8,    80.7,    82.0,    64.6,    94.8,    80.7,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874H,CME ,00,138 ,   14930,    5636,    7247,       0,    8652,    5047,       0,       0,    1397,       0,       0,       0,       0,   14288,   13691,     642,    1239,    1636,    -902,    1953,       0,    2526,     -49,       0,       0,    -350,       0,       0,       0,       0,    1624,    1554,      12,      82,  100.0,   37.7,   48.5,    0.0,   58.0,   33.8,    0.0,    0.0,    9.4,    0.0,    0.0,    0.0,    0.0,   95.7,   91.7,    4.3,    8.3,     22,      6,      5,      0,.,      6,      0,      0,.,      0,      0,      0,      0,      9,     13,    81.1,    57.4,    94.3,    78.1,    81.1,    57.4,    94.3,    78.1,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874H,CME ,00,138 ,   13294,    6538,    5294,       0,    6126,    5096,       0,       0,    1747,       0,       0,       0,       0,   12664,   12137,     630,    1157,    1051,     153,     999,       0,    1002,      44,       0,       0,     189,       0,       0,       0,       0,    1155,    1232,    -104,    -181,  100.0,   49.2,   39.8,    0.0,   46.1,   38.3,    0.0,    0.0,   13.1,    0.0,    0.0,    0.0,    0.0,   95.3,   91.3,    4.7,    8.7,     24,      7,      4,      0,.,      6,      0,      0,      4,      0,      0,      0,      0,     10,     14,    72.0,    58.2,    91.2,    76.9,    72.0,    58.2,    91.2,    76.9,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,13874I,CME ,00,138 ,   17945,    4318,   14452,    2375,    8869,       0,       0,     270,     527,       1,       0,       0,       0,   15833,   17355,    2112,     590,    2176,     187,    -106,    2375,    -698,       0,     -15,     270,     -16,       1,       0,       0,       0,    2120,    2239,      56,     -63,  100.0,   24.1,   80.5,   13.2,   49.4,    0.0,    0.0,    1.5,    2.9,    0.0,    0.0,    0.0,    0.0,   88.2,   96.7,   11.8,    3.3,     23,      8,      5,.,      8,      0,      0,.,.,.,      0,      0,      0,     18,      9,    48.1,    80.1,    66.8,    96.7,    44.8,    74.1,    60.3,    83.5,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,13874I,CME ,00,138 ,   15769,    4131,   14558,       0,    9567,       0,      15,       0,     543,       0,       0,       0,       0,   13713,   15116,    2056,     653,     -75,   -1483,     331,      -9,    1694,    -520,       0,       0,      46,       0,       0,       0,       0,     202,    -152,    -277,      77,  100.0,   26.2,   92.3,    0.0,   60.7,    0.0,    0.1,    0.0,    3.4,    0.0,    0.0,    0.0,    0.0,   87.0,   95.9,   13.0,    4.1,     22,      7,      5,      0,      9,      0,.,      0,.,      0,      0,      0,      0,     16,      7,    50.5,    85.0,    68.0,    95.9,    50.5,    85.0,    68.0,    95.8,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,13874I,CME ,00,138 ,   15844,    5614,   14227,       9,    7873,     520,      15,       0,     497,       0,       0,       0,       0,   13511,   15268,    2333,     576,    -219,       9,      -9,       9,      87,       0,       0,       0,     -80,       0,       0,       0,       0,     105,     -80,    -324,    -139,  100.0,   35.4,   89.8,    0.1,   49.7,    3.3,    0.1,    0.0,    3.1,    0.0,    0.0,    0.0,    0.0,   85.3,   96.4,   14.7,    3.6,     20,      7,      5,.,      6,.,.,      0,.,      0,      0,      0,      0,     13,      9,    55.5,    82.6,    73.1,    96.3,    55.5,    82.6,    73.1,    96.2,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,13874I,CME ,00,138 ,   16063,    5605,   14236,       0,    7786,     520,      15,       0,     577,       0,       0,       0,       0,   13406,   15348,    2657,     715,     240,     802,      16,       0,    -841,       0,       0,       0,       9,       0,       0,       0,       0,     -39,      25,     279,     215,  100.0,   34.9,   88.6,    0.0,   48.5,    3.2,    0.1,    0.0,    3.6,    0.0,    0.0,    0.0,    0.0,   83.5,   95.5,   16.5,    4.5,     20,      7,      5,      0,      6,.,.,      0,.,      0,      0,      0,      0,     13,      8,    54.6,    81.5,    71.9,    95.5,    54.6,    81.5,    71.9,    95.5,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,13874I,CME ,00,138 ,   15823,    4803,   14220,       0,    8627,     520,      15,       0,     568,       0,       0,       0,       0,   13445,   15323,    2378,     500,     552,    -133,     725,       0,     692,    -180,       0,       0,      57,       0,       0,       0,       0,     559,     602,      -7,     -50,  100.0,   30.4,   89.9,    0.0,   54.5,    3.3,    0.1,    0.0,    3.6,    0.0,    0.0,    0.0,    0.0,   85.0,   96.8,   15.0,    3.2,     21,      7,      5,      0,      7,.,.,      0,.,      0,      0,      0,      0,     14,      8,    50.7,    82.6,    69.3,    96.8,    50.7,    82.6,    69.3,    96.7,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
"E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,13874I,CME ,00,138 ,   15271,    4936,   13495,       0,    7935,     700,      15,       0,     511,       0,       0,       0,       0,   12886,   14721,    2385,     550,     -72,     -24,    -115,       0,    -157,       0,       0,       0,      17,       0,       0,       0,       0,    -181,     -98,     109,      26,  100.0,   32.3,   88.4,    0.0,   52.0,    4.6,    0.1,    0.0,    3.3,    0.0,    0.0,    0.0,    0.0,   84.4,   96.4,   15.6,    3.6,     21,      7,      5,      0,      7,.,.,      0,.,      0,      0,      0,      0,     14,      8,    53.2,    80.9,    71.2,    96.4,    53.2,    80.9,    71.2,    96.3,"($100 x S&P Select Sector Technology Index price)","13874I","CME ","138 ","F20","FutOnly"
