"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250225,2025-02-25,06439Q,IFED,01,064 ,   27239,   17048,   20742,    3810,    1998,    2084,     896,       0,    1800,     551,     600,       0,   26189,   27224,    1050,      15,   27239,   17048,   20742,    3810,    1998,    2084,     896,       0,    1800,     551,     600,       0,   26189,   27224,    1050,      15,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      40,       0,      25,       0,       0,       0,       0,       0,       0,      50,       0,       0,      50,      25,     -10,      15,  100.0,   62.6,   76.1,   14.0,    7.3,    7.7,    3.3,    0.0,    6.6,    2.0,    2.2,    0.0,   96.1,   99.9,    3.9,    0.1,  100.0,   62.6,   76.1,   14.0,    7.3,    7.7,    3.3,    0.0,    6.6,    2.0,    2.2,    0.0,   96.1,   99.9,    3.9,    0.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     13,     11,      4,.,      4,.,      0,.,.,.,      0,     24,     18,     25,     13,     11,      4,.,      4,.,      0,.,.,.,      0,     24,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    48.5,    65.1,    68.5,    82.5,    39.6,    58.8,    55.3,    65.3,    48.5,    65.1,    68.5,    82.5,    39.6,    58.8,    55.3,    65.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250218,2025-02-18,06439Q,IFED,01,064 ,   27199,   17048,   20717,    3810,    1998,    2084,     896,       0,    1800,     501,     600,       0,   26139,   27199,    1060,       0,   27199,   17048,   20717,    3810,    1998,    2084,     896,       0,    1800,     501,     600,       0,   26139,   27199,    1060,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      20,      20,      20,       0,       0,       0,       0,       0,       0,       0,       0,       0,      20,      20,       0,       0,  100.0,   62.7,   76.2,   14.0,    7.3,    7.7,    3.3,    0.0,    6.6,    1.8,    2.2,    0.0,   96.1,  100.0,    3.9,    0.0,  100.0,   62.7,   76.2,   14.0,    7.3,    7.7,    3.3,    0.0,    6.6,    1.8,    2.2,    0.0,   96.1,  100.0,    3.9,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     13,     11,      4,.,      4,.,      0,.,.,.,      0,     24,     18,     25,     13,     11,      4,.,      4,.,      0,.,.,.,      0,     24,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    48.5,    65.1,    68.6,    81.7,    40.8,    58.8,    56.5,    65.3,    48.5,    65.1,    68.6,    81.7,    40.8,    58.8,    56.5,    65.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250211,2025-02-11,06439Q,IFED,01,064 ,   27179,   17028,   20697,    3810,    1998,    2084,     896,       0,    1800,     501,     600,       0,   26119,   27179,    1060,       0,   27179,   17028,   20697,    3810,    1998,    2084,     896,       0,    1800,     501,     600,       0,   26119,   27179,    1060,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -764,    -278,   -1232,    -250,     472,      -4,    -136,       0,       0,     -76,       0,       0,    -744,    -764,     -20,       0,  100.0,   62.7,   76.2,   14.0,    7.4,    7.7,    3.3,    0.0,    6.6,    1.8,    2.2,    0.0,   96.1,  100.0,    3.9,    0.0,  100.0,   62.7,   76.2,   14.0,    7.4,    7.7,    3.3,    0.0,    6.6,    1.8,    2.2,    0.0,   96.1,  100.0,    3.9,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     12,     11,      4,.,      4,.,      0,.,.,.,      0,     23,     18,     25,     12,     11,      4,.,      4,.,      0,.,.,.,      0,     23,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    48.6,    64.9,    68.0,    81.7,    40.8,    58.8,    56.5,    66.0,    48.6,    64.9,    68.0,    81.7,    40.8,    58.8,    56.5,    66.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250204,2025-02-04,06439Q,IFED,01,064 ,   27943,   17306,   21929,    4060,    1526,    2088,    1032,       0,    1800,     577,     600,       0,   26863,   27943,    1080,       0,   27943,   17306,   21929,    4060,    1526,    2088,    1032,       0,    1800,     577,     600,       0,   26863,   27943,    1080,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1585,     440,     385,      50,       0,     300,    -600,    -420,    1500,      15,       0,       0,    1705,    1765,    -120,    -180,  100.0,   61.9,   78.5,   14.5,    5.5,    7.5,    3.7,    0.0,    6.4,    2.1,    2.1,    0.0,   96.1,  100.0,    3.9,    0.0,  100.0,   61.9,   78.5,   14.5,    5.5,    7.5,    3.7,    0.0,    6.4,    2.1,    2.1,    0.0,   96.1,  100.0,    3.9,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     12,     11,      4,.,      4,.,      0,.,.,.,      0,     23,     18,     25,     12,     11,      4,.,      4,.,      0,.,.,.,      0,     23,     18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    48.8,    65.3,    68.6,    81.9,    40.1,    59.8,    56.0,    64.9,    48.8,    65.3,    68.6,    81.9,    40.1,    59.8,    56.0,    64.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250128,2025-01-28,06439Q,IFED,01,064 ,   26358,   16866,   21544,    4010,    1526,    1788,    1632,     420,     300,     562,     600,       0,   25158,   26178,    1200,     180,   26358,   16866,   21544,    4010,    1526,    1788,    1632,     420,     300,     562,     600,       0,   25158,   26178,    1200,     180,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   64.0,   81.7,   15.2,    5.8,    6.8,    6.2,    1.6,    1.1,    2.1,    2.3,    0.0,   95.4,   99.3,    4.6,    0.7,  100.0,   64.0,   81.7,   15.2,    5.8,    6.8,    6.2,    1.6,    1.1,    2.1,    2.3,    0.0,   95.4,   99.3,    4.6,    0.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     11,     10,      4,.,.,.,.,.,.,.,      0,     20,     17,     24,     11,     10,      4,.,.,.,.,.,.,.,      0,     20,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    51.1,    69.2,    71.6,    85.6,    41.6,    63.8,    58.8,    70.2,    51.1,    69.2,    71.6,    85.6,    41.6,    63.8,    58.8,    70.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250121,2025-01-21,06439Q,IFED,01,064 ,   26358,   16866,   21544,    4010,    1526,    1788,    1632,     420,     300,     562,     600,       0,   25158,   26178,    1200,     180,   26358,   16866,   21544,    4010,    1526,    1788,    1632,     420,     300,     562,     600,       0,   25158,   26178,    1200,     180,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -600,       0,   -1080,       0,       0,       0,    -900,     420,     300,       0,       0,       0,    -600,    -360,       0,    -240,  100.0,   64.0,   81.7,   15.2,    5.8,    6.8,    6.2,    1.6,    1.1,    2.1,    2.3,    0.0,   95.4,   99.3,    4.6,    0.7,  100.0,   64.0,   81.7,   15.2,    5.8,    6.8,    6.2,    1.6,    1.1,    2.1,    2.3,    0.0,   95.4,   99.3,    4.6,    0.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     11,     10,      4,.,.,.,.,.,.,.,      0,     20,     17,     24,     11,     10,      4,.,.,.,.,.,.,.,      0,     20,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    51.1,    69.2,    71.6,    85.6,    41.6,    63.8,    58.8,    70.2,    51.1,    69.2,    71.6,    85.6,    41.6,    63.8,    58.8,    70.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250114,2025-01-14,06439Q,IFED,01,064 ,   26958,   16866,   22624,    4010,    1526,    1788,    2532,       0,       0,     562,     600,       0,   25758,   26538,    1200,     420,   26958,   16866,   22624,    4010,    1526,    1788,    2532,       0,       0,     562,     600,       0,   25758,   26538,    1200,     420,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -285,    -256,    -544,     218,     366,    -337,     -35,       0,       0,     -25,       0,       0,    -435,    -515,     150,     230,  100.0,   62.6,   83.9,   14.9,    5.7,    6.6,    9.4,    0.0,    0.0,    2.1,    2.2,    0.0,   95.5,   98.4,    4.5,    1.6,  100.0,   62.6,   83.9,   14.9,    5.7,    6.6,    9.4,    0.0,    0.0,    2.1,    2.2,    0.0,   95.5,   98.4,    4.5,    1.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     11,     10,      4,.,.,.,      0,      0,.,.,      0,     20,     15,     23,     11,     10,      4,.,.,.,      0,      0,.,.,      0,     20,     15,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    49.9,    67.7,    72.3,    84.5,    40.6,    62.4,    60.8,    69.9,    49.9,    67.7,    72.3,    84.5,    40.6,    62.4,    60.8,    69.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT Houston 345KV RT OFF FIX - ICE FUTURES ENERGY DIV",250107,2025-01-07,06439Q,IFED,01,064 ,   27243,   17122,   23168,    3792,    1160,    2125,    2567,       0,       0,     587,     600,       0,   26193,   27053,    1050,     190,   27243,   17122,   23168,    3792,    1160,    2125,    2567,       0,       0,     587,     600,       0,   26193,   27053,    1050,     190,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   62.8,   85.0,   13.9,    4.3,    7.8,    9.4,    0.0,    0.0,    2.2,    2.2,    0.0,   96.1,   99.3,    3.9,    0.7,  100.0,   62.8,   85.0,   13.9,    4.3,    7.8,    9.4,    0.0,    0.0,    2.2,    2.2,    0.0,   96.1,   99.3,    3.9,    0.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     12,     10,      4,.,.,.,      0,      0,.,.,      0,     22,     15,     25,     12,     10,      4,.,.,.,      0,      0,.,.,      0,     22,     15,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    51.2,    68.7,    74.0,    87.2,    39.5,    63.4,    60.6,    71.2,    51.2,    68.7,    74.0,    87.2,    39.5,    63.4,    60.6,    71.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","06439Q","IFED","064 ","N16","FutOnly"
"ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV",250311,2025-03-11,06439R,IFED,01,064 ,  246171,   81081,  179237,   39292,   20009,   16513,   73309,    3939,   13156,   13284,    4638,    8097,  244732,  245589,    1439,     582,  246171,   81081,  179237,   39292,   20009,   16513,   73309,    3939,   13156,   13284,    4638,    8097,  244732,  245589,    1439,     582,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -6453,   -6069,    -452,   -1297,   -2245,     172,     652,   -1883,    -842,    1498,    -666,    -517,   -6403,   -6433,     -50,     -20,  100.0,   32.9,   72.8,   16.0,    8.1,    6.7,   29.8,    1.6,    5.3,    5.4,    1.9,    3.3,   99.4,   99.8,    0.6,    0.2,  100.0,   32.9,   72.8,   16.0,    8.1,    6.7,   29.8,    1.6,    5.3,    5.4,    1.9,    3.3,   99.4,   99.8,    0.6,    0.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     93,     40,     39,      5,.,      7,     13,      8,     12,      8,     10,     16,     81,     82,     93,     40,     39,      5,.,      7,     13,      8,     12,      8,     10,     16,     81,     82,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    44.4,    45.2,    58.8,    64.8,    39.1,    38.4,    48.3,    48.2,    44.4,    45.2,    58.8,    64.8,    39.1,    38.4,    48.3,    48.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mw per Peak Hour","06439R","IFED","064 ","N16","FutOnly"
"ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV",250304,2025-03-04,06439R,IFED,01,064 ,  252624,   87150,  179689,   40589,   22254,   16341,   72657,    5822,   13998,   11786,    5304,    8614,  251135,  252022,    1489,     602,  252624,   87150,  179689,   40589,   22254,   16341,   72657,    5822,   13998,   11786,    5304,    8614,  251135,  252022,    1489,     602,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3356,     685,    1605,    -107,     620,     356,    1170,     285,     -45,     529,    -325,     689,    3277,    3185,      79,     171,  100.0,   34.5,   71.1,   16.1,    8.8,    6.5,   28.8,    2.3,    5.5,    4.7,    2.1,    3.4,   99.4,   99.8,    0.6,    0.2,  100.0,   34.5,   71.1,   16.1,    8.8,    6.5,   28.8,    2.3,    5.5,    4.7,    2.1,    3.4,   99.4,   99.8,    0.6,    0.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     95,     41,     38,      6,.,      7,     11,     10,     13,      7,     12,     15,     82,     82,     95,     41,     38,      6,.,      7,     11,     10,     13,      7,     12,     15,     82,     82,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    45.3,    43.9,    59.7,    63.3,    39.0,    36.9,    47.7,    45.9,    45.3,    43.9,    59.7,    63.3,    39.0,    36.9,    47.7,    45.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mw per Peak Hour","06439R","IFED","064 ","N16","FutOnly"
"ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV",250225,2025-02-25,06439R,IFED,01,064 ,  249268,   86465,  178084,   40696,   21634,   15985,   71487,    5537,   14043,   11257,    5629,    7925,  247858,  248837,    1410,     431,  249268,   86465,  178084,   40696,   21634,   15985,   71487,    5537,   14043,   11257,    5629,    7925,  247858,  248837,    1410,     431,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4090,   -1401,    4085,    1206,   -2623,    1030,    2469,     710,     667,     294,     537,    -199,    4066,    4207,      24,    -117,  100.0,   34.7,   71.4,   16.3,    8.7,    6.4,   28.7,    2.2,    5.6,    4.5,    2.3,    3.2,   99.4,   99.8,    0.6,    0.2,  100.0,   34.7,   71.4,   16.3,    8.7,    6.4,   28.7,    2.2,    5.6,    4.5,    2.3,    3.2,   99.4,   99.8,    0.6,    0.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     94,     41,     37,      6,.,      7,     12,      9,     13,      7,     12,     13,     80,     80,     94,     41,     37,      6,.,      7,     12,      9,     13,      7,     12,     13,     80,     80,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    45.1,    44.4,    60.0,    63.3,    39.2,    37.6,    47.8,    45.6,    45.1,    44.4,    60.0,    63.3,    39.2,    37.6,    47.8,    45.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mw per Peak Hour","06439R","IFED","064 ","N16","FutOnly"
"ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV",250218,2025-02-18,06439R,IFED,01,064 ,  245178,   87866,  173999,   39490,   24257,   14955,   69018,    4827,   13376,   10963,    5092,    8124,  243792,  244630,    1386,     548,  245178,   87866,  173999,   39490,   24257,   14955,   69018,    4827,   13376,   10963,    5092,    8124,  243792,  244630,    1386,     548,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    5913,      97,    3871,     974,    1316,    -384,    2689,   -1897,    1759,     543,    1115,     217,    5895,    5997,      18,     -84,  100.0,   35.8,   71.0,   16.1,    9.9,    6.1,   28.2,    2.0,    5.5,    4.5,    2.1,    3.3,   99.4,   99.8,    0.6,    0.2,  100.0,   35.8,   71.0,   16.1,    9.9,    6.1,   28.2,    2.0,    5.5,    4.5,    2.1,    3.3,   99.4,   99.8,    0.6,    0.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     92,     40,     38,      5,.,      6,     12,      9,     13,      9,     10,     14,     79,     80,     92,     40,     38,      5,.,      6,     12,      9,     13,      9,     10,     14,     79,     80,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    45.3,    45.0,    59.5,    65.0,    38.9,    38.9,    47.7,    48.1,    45.3,    45.0,    59.5,    65.0,    38.9,    38.9,    47.7,    48.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mw per Peak Hour","06439R","IFED","064 ","N16","FutOnly"
"ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV",250211,2025-02-11,06439R,IFED,01,064 ,  239265,   87769,  170128,   38516,   22941,   15339,   66329,    6724,   11617,   10420,    3977,    7907,  237897,  238633,    1368,     632,  239265,   87769,  170128,   38516,   22941,   15339,   66329,    6724,   11617,   10420,    3977,    7907,  237897,  238633,    1368,     632,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -7443,   -6807,      29,     270,   -2103,   -1719,    4201,   -1012,   -1258,    -886,    -375,   -1082,   -7281,   -7520,    -162,      77,  100.0,   36.7,   71.1,   16.1,    9.6,    6.4,   27.7,    2.8,    4.9,    4.4,    1.7,    3.3,   99.4,   99.7,    0.6,    0.3,  100.0,   36.7,   71.1,   16.1,    9.6,    6.4,   27.7,    2.8,    4.9,    4.4,    1.7,    3.3,   99.4,   99.7,    0.6,    0.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     90,     40,     36,      5,.,      6,      9,     13,     11,      7,     10,     12,     75,     77,     90,     40,     36,      5,.,      6,      9,     13,     11,      7,     10,     12,     75,     77,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    45.9,    44.9,    60.4,    64.9,    39.4,    38.6,    47.6,    47.7,    45.9,    44.9,    60.4,    64.9,    39.4,    38.6,    47.6,    47.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 Mw per Peak Hour","06439R","IFED","064 ","N16","FutOnly"
